id,restaurant_id,name,description,category,base_type,meat_type,size_or_variant,price_pln,spicy,is_vege,image_url,available,created_at
51608c00-b06d-4ee4-8e51-9461ca05de2a,83566974-1017-4408-90ee-2571ccc06978,Lody waniliowe z sosem karmelowym,3 gałki lodów waniliowych z polewą karmelową,Deser,,,,13.00,false,false,,true,2025-10-29 14:53:24.683083+00
526b8579-fab8-4861-9c35-c7074f41ce52,70842598-1632-43f6-8015-706d5adf182f,Kalmary po tajsku,Z ryżem i surówką,Kalmary,,,,27.00,false,false,,true,2025-10-29 21:37:37.603105+00
533383c1-f562-4286-a573-b50c7c4b1f44,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Woda mineralna (330 ml),Woda mineralna 330 ml,Napój,woda,vege,330ml,6.00,false,true,,true,2025-10-26 15:46:12.980509+00
5358eeb0-1b38-477a-bc5a-2f5bea3a3a37,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Naleśnik ze szpinakiem i serem feta,"Szpinak, ser feta, pomidor, ogórek kiszony, sos czosnkowy",Naleśnik,naleśnik,vege,,24.00,false,true,,true,2025-10-26 15:45:44.409028+00
541e5bfd-0aa0-4eea-9aae-ff1421b9727a,70842598-1632-43f6-8015-706d5adf182f,Wieprzowina Curry,Z ryżem i surówką,Wieprzowina,,,,20.00,false,false,,true,2025-10-29 21:37:37.603105+00
561fb9d8-cc0b-42ae-9ce6-f3cfdf2f8770,bd9f2244-7618-4071-aa96-52616a7b4c70,Bacon Burger,"Wołowina, bekon, ser cheddar, sałata, sos BBQ",Burger,burger,mięsne,,32.00,false,false,,true,2025-10-26 11:50:51.979421+00
56f5ee57-9939-41f5-93db-4d8116ac4f44,fc844513-2869-4f42-b04f-c21e1e4cceb7,Falafel,,Kebab,,,,13.00,false,false,,true,2025-10-29 22:45:07.983357+00
56faa966-bb22-483d-ab5c-742e9d7d73d8,8b00b05e-72f7-4a5f-b50c-5630a75d6312,Kofola klasyczna,napój gazowany 0.5l,Napoje,napój,,0.5l,12.00,false,true,,true,2025-10-24 22:30:48.539923+00
58883dda-e573-42f1-841e-de12b1862abb,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Ziemniaki z wody,Ziemniaki gotowane (150g),Dodatek,dodatek,vege,,9.00,false,true,,true,2025-10-26 13:36:05.238998+00
5a221e70-dca3-4344-b27a-9f8e0354499e,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Wodzionka,"Wodzionka śląska z czosnkiem, podawana z bukaszanem",Zupa,zupa,,,20.00,false,false,,true,2025-10-26 13:25:49.038306+00
5ad9f937-c232-4259-9e1f-e528d16dce10,bd9f2244-7618-4071-aa96-52616a7b4c70,Kawa Czarna,Świeżo parzona kawa czarna,Napój,napój,,,8.00,false,true,,true,2025-10-26 11:55:50.750805+00
5e28cdc5-a8c4-43ad-a866-880f3963d862,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Placki po węgiersku z gulaszem wieprzowym,"Placki ziemniaczane, gulasz wieprzowy",Danie główne,placki,mięsne,,22.00,false,false,,true,2025-10-26 15:52:04.270001+00
5fcb0b3c-6f27-40bf-941d-dd38ef47dcad,fc844513-2869-4f42-b04f-c21e1e4cceb7,Pita Rollo z serem,"Pita rollo z serem, sos, surówka, mięso",Kebab,pita,dowolne,średni,20.00,false,false,,true,2025-12-18 10:31:10.334916+00
6201f101-584a-431b-ad84-253aa5640cc3,569a7d29-57be-4224-bdf3-09c483415cea,Kosmiczne Jaja Double,"Bułka maślana, 100% wołowina 400g, ser cheddar, grillowany boczek, jajko sadzone, sałata, pomidor, grillowana cebula czerwona, sos majonezowy, BBQ",Burger,burger,mięsne,double,46.00,false,false,,true,2025-10-29 21:29:06.527172+00
640376e9-38e0-4c38-a67f-1d154ee5deb5,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Żur śląski na talerzu,Żur śląski podawany na talerzu,Zupa,zupa,mięsne,,22.00,false,false,,true,2025-10-26 13:25:49.038306+00
64790043-99e4-42ed-8550-e82ac7a8defa,70842598-1632-43f6-8015-706d5adf182f,Kaczka po tajsku,Z ryżem i surówką,Kaczka,,,,23.00,false,false,,true,2025-10-29 21:37:37.603105+00
66c7c70a-1c03-4cd3-a342-985113bb06da,83566974-1017-4408-90ee-2571ccc06978,Sprite,Cytrynowo-limonkowy napój gazowany 0.33l,Napój,,,,9.00,false,false,,true,2025-10-29 14:53:24.683083+00
678dcc8c-121a-4d29-bfb1-9b1b0942b59c,70842598-1632-43f6-8015-706d5adf182f,Kurczak po tajsku,Z ryżem i surówką,Kurczak,,,,18.00,false,false,,true,2025-10-29 21:37:37.603105+00
680c91fe-4d3e-47d0-a485-74361b01c2b8,bd9f2244-7618-4071-aa96-52616a7b4c70,Sos Pikantny,Ostry sos pomidorowy z papryką chili,Sos,sos,,,5.00,true,true,,true,2025-10-26 11:55:50.750805+00
68377d29-08e8-4cbe-a2d5-f718fb9a0879,fc844513-2869-4f42-b04f-c21e1e4cceb7,Oshee,,Napoje,,,,6.00,false,false,,true,2025-10-29 22:45:07.983357+00
686ab999-6db2-4b50-a7c1-449d33e839b7,83566974-1017-4408-90ee-2571ccc06978,Spinaci,"Sos śmietanowy, ser mozzarella, szpinak, czosnek, ricotta",Pizza,,,,33.00,false,false,,true,2025-10-29 14:49:19.136917+00
6a1b8e19-96b9-4638-9165-5b20fc846f06,fc844513-2869-4f42-b04f-c21e1e4cceb7,Pita Rollo,"Pita rollo, sos, surówka, mięso",Kebab,pita,dowolne,mega,28.00,false,false,,true,2025-12-18 10:31:10.334916+00
6acd64f4-36c5-4337-9175-b2f418ee567d,8b00b05e-72f7-4a5f-b50c-5630a75d6312,Zupa pomidorowa,zupa pomidorowa z makaronem,Zupy,zupa,,,13.00,false,true,,true,2025-10-24 22:30:48.539923+00
6b717727-0ee0-40b4-85d7-29b28a6a91b0,70842598-1632-43f6-8015-706d5adf182f,Pierogi SiuMai z ryżem i surówką,"Pierogi SiuMai 3 szt., z ryżem i surówką",Sajgonki,,,,15.00,false,false,,true,2025-10-29 21:37:37.603105+00
6cd5fc0b-7473-4548-8147-0b868e0ea7d7,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Grillowany filet z kurczaka,"Filet z kurczaka grillowany, przyprawy",Drób,drób,mięsne,,27.00,false,false,,true,2025-10-26 13:27:08.692813+00
6d56a7ab-b78b-4f21-acb3-c82e3fde5476,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Miruna w panierce,"Miruna panierowana, frytki, sałatka (VEGE)",Ryba,ryba,vege,,32.00,false,true,,true,2025-10-26 13:33:30.847182+00
6ea26598-d62d-43b6-b9b2-ad608623a110,70842598-1632-43f6-8015-706d5adf182f,Kaczka pikantna,Z ryżem i surówką,Kaczka,,,,23.00,false,false,,true,2025-10-29 21:37:37.603105+00
6edfdf0f-71e3-478c-bceb-0a9c58d75100,fc844513-2869-4f42-b04f-c21e1e4cceb7,Frytki z serem,,Przekąski,,,,9.00,false,false,,true,2025-10-29 22:45:07.983357+00
6fb3ddc7-b598-4ade-9b73-c7f9ea9297bb,70842598-1632-43f6-8015-706d5adf182f,Kurczak w cieście słodko-kwaśny,Z ryżem i surówką,Kurczak w cieście,,,,16.00,false,false,,true,2025-10-29 21:37:37.603105+00
6fe4e0f4-7b8a-4bfc-9bcc-9475b7f56fb1,fc844513-2869-4f42-b04f-c21e1e4cceb7,"Coca-Cola 0,3l",,Napoje,,,,5.00,false,false,,true,2025-10-29 22:45:07.983357+00
708f5cc4-cdec-48d0-9c29-28585bbc1811,70842598-1632-43f6-8015-706d5adf182f,Zupa z kurczakiem,500 ml,Zupy,,,,10.00,false,false,,true,2025-10-29 21:37:37.603105+00
719b56ba-1e0c-4e98-b5ad-5736b2ac036d,4d27fbe3-20d0-4eb4-b003-1935be53af25,Kartacze z dzikiem,"Czerwona kapusta z dynią, sos grzybowy, oliwa szczypiorkowa, chips cebulowy",Menu sezonowe,danie główne,mięsne,,48.00,false,false,,true,2025-10-26 15:20:59.365659+00
725351a2-6c59-4f70-a0da-bb2ef5f3a5a2,8b00b05e-72f7-4a5f-b50c-5630a75d6312,Pizza Láska Nebeská,"oregano, oliwa, parmezan, rukola, szynka parmeńska, sos pomidorowy",Pizza,pizza,wieprzowa,,42.00,false,false,,true,2025-10-24 22:30:48.539923+00
7350cd9f-0d40-46c6-bda2-1bea8e5cb05d,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Wątróbka drobiowa,"Wątróbka, cebulka, ziemniaki, surówka",Danie główne,wątróbka,mięsne,,16.00,false,false,,true,2025-10-26 15:51:18.018618+00
739cdfe1-328f-45a7-bad7-a490761bb43c,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Filet z kurczaka tradycyjny (panierowany),"Filet drobiowy panierowany, ziemniaki, surówka",Danie główne,kurczak,mięsne,,15.00,false,false,,true,2025-10-26 15:49:25.550641+00
